Category,No. of reviews,Rating,Time elapsed after the last update,Size,"No. of Installations
(in '00000s)",Required Android Version,content_rating,Success
BOOKS_AND_REFERENCE,7626,4.4,3 months,between 10-20,10,above 4,Everyone ,successful
BOOKS_AND_REFERENCE,611013,4.6,1 month,less than 10,100,above 4,Everyone,successful
BOOKS_AND_REFERENCE,5324,4.1,more than 6 months,between 20-30,10,above 4,Everyone,Not Successful
BOOKS_AND_REFERENCE,24209,4.2,1 month,between 30-40,10,above 4,Teen,Not Successful
BOOKS_AND_REFERENCE,276120,4.8,3 months,between 40-50,100,above 5,Everyone,successful
BOOKS_AND_REFERENCE,922358,4.1,1 month,between 40-50,1000,above 5,Teen,Not Successful
BOOKS_AND_REFERENCE,3484954,4.3,1 month,between 10-20,1000,above 4,Teen,successful
BOOKS_AND_REFERENCE,64960,4.3,3 months,less than 10,50,above 6,Everyone,successful
BOOKS_AND_REFERENCE,6284,3.4,1 month,between 10-20,10,above 5,Teen,Not Successful
BOOKS_AND_REFERENCE,15612,4.6,3 months,less than 10,10,above 4,Everyone,successful
BOOKS_AND_REFERENCE,10234,3.9,more than 6 months,less than 10,10,above 5,Everyone,Not Successful
BOOKS_AND_REFERENCE,13808,3.6,3 months,between 20-30,5,above 4,Everyone,Not Successful
BOOKS_AND_REFERENCE,5324,4.1,more than 6 months,between 20-30,10,above 4,Everyone,Not Successful
BOOKS_AND_REFERENCE,107990,3.8,3 months,between 30-40,100,above 4,Everyone,Not Successful
BOOKS_AND_REFERENCE,1572603,4.2,3 months,less than 10,10000,above 4,Teen,Not Successful
BOOKS_AND_REFERENCE,21254,4.5,3 months,less than 10,10,above 4,Everyone,successful
BOOKS_AND_REFERENCE,182952,4.7,6 months,less than 10,50,above 4,Teen,successful
BOOKS_AND_REFERENCE,491762,3.7,1 month,between 10-20,100,above 4,Teen,Not Successful
BOOKS_AND_REFERENCE,152996,4.5,1 month,between 10-20,10,above 4,Mature ,successful
BOOKS_AND_REFERENCE,4876,4.4,1 month,between 10-20,5,above 5,Teen,successful
BOOKS_AND_REFERENCE,24214,4.2,1 month,between 30-40,10,above 4,Teen,Not Successful
TOOLS,281966,4,more than 6 months,between 20-30,100,above 4,Everyone,Not Successful
COMMUNICATION,3350514,4.4,1 month,above 50,1000,above 4,Everyone,successful
SOCIAL,3073492,4.4,1 month,less than 10,100,above 4,Everyone,successful
PRODUCTIVITY,42936,4.4,1 month,above 50,1000,above 5,Everyone,successful
COMMUNICATION,4638398,3.2,3 months,above 50,10,above 5,Everyone,Not Successful
COMMUNICATION,201091,4,1 month,between 10-20,100,above 5,Everyone,Not Successful
COMMUNICATION,6542839,4.4,3 months,between 10-20,50000,above 4,Everyone,successful
COMMUNICATION,22018,4.1,3 months,less than 10,10,above 4,Everyone,Not Successful
COMMUNICATION,4889311,4.5,1 month,between 20-30,1000,above 5,Everyone,successful
COMMUNICATION,235963,4.7,1 month,between 10-20,100,above 5,Everyone,successful
COMMUNICATION,96788,3.7,3 months,between 20-30,50,above 6,Everyone,Not Successful
COMMUNICATION,614770,4.5,3 months,less than 10,100,above 6,Everyone,successful
COMMUNICATION,200797,3.5,1 month,between 10-20,100,above 5,Everyone,Not Successful
COMMUNICATION,101394,4.3,3 months,between 10-20,50,above 5,Everyone,successful
SOCIAL,238534,4.3,1 month,between 20-30,100,above 4,Mature ,successful
COMMUNICATION,29301,4.1,more than 6 months,between 20-30,10,above 4,Everyone,Not Successful
COMMUNICATION,242214,4.4,1 month,between 30-40,100,above 4,Teen,successful
COMMUNICATION,747180,4.5,1 month,above 50,100,above 4,Teen,successful
SOCIAL,65545,4,1 month,above 50,50,above 4,Teen,Not Successful
COMMUNICATION,11808392,4.5,1 month,between 30-40,5000,above 5,Everyone,successful
SOCIAL,6758012,3.7,1 month,above 50,1000,above 4,Mature ,Not Successful
VIDEO_PLAYERS,1139019,4,more than 6 months,less than 10,500,above 4,Teen,Not Successful
EDUCATION,170499,4.6,1 month,between 30-40,100,above 4,Everyone,successful
SOCIAL,93094399,4.4,3 months,between 30-40,10000,above 5,Teen,successful
SOCIAL,94527825,4.2,1 month,above 50,50000,above 4,Teen,Not Successful
NEWS_AND_MAGAZINES,14399454,4.5,1 month,between 10-20,5000,above 5,Mature ,successful
SOCIAL,3833138,4.4,1 month,above 50,1000,above 4,Mature ,successful
SOCIAL,58605,3.5,3 months,less than 10,10,above 4,Mature ,Not Successful
COMMUNICATION,385930,4.5,3 months,between 10-20,100,above 4,Everyone,successful
COMMUNICATION,103082311,4.3,3 months,between 20-30,10000,above 4,Everyone,successful
COMMUNICATION,5764708,3.8,1 month,above 50,1000,above 5,Everyone,Not Successful
COMMUNICATION,29142,4.2,more than 6 months,between 20-30,10,above 4,Everyone,Not Successful
COMMUNICATION,1847057,4.5,3 months,between 20-30,5000,above 4,Everyone,successful
MEDICAL,193,4.7,more than 6 months,less than 10,0.1,above 4,Everyone,Not Successful
MEDICAL,39,1.9,more than 6 months,less than 10,0.05,above 4,Everyone,Not Successful
MEDICAL,24,4,more than 6 months,above 50,0.01,above 6,Everyone,Not Successful
MEDICAL,7992,4.4,3 months,less than 10,10,above 4,Everyone ,successful
MEDICAL,6480,3.6,3 months,between 30-40,10,above 5,Everyone,Not Successful
MEDICAL,140,4.5,1 month,less than 10,0.01,above 5,Everyone,Not Successful
MEDICAL,2057,4.7,1 month,less than 10,1,above 5,Everyone,successful
MEDICAL,681,3.8,1 month,less than 10,1,above 5,Everyone,Not Successful
MEDICAL,9422,4.5,1 month,between 10-20,1,above 4,Everyone,successful
MEDICAL,451,1.7,more than 6 months,between 10-20,0.1,above 4,Everyone,Not Successful
MEDICAL,829,4.5,1 month,between 10-20,0.1,above 4,Everyone,Not Successful
MEDICAL,20289,4.7,3 months,between 20-30,10,above 4,Everyone,successful
MEDICAL,12229,4.1,6 months,between 10-20,10,above 4,Everyone,Not Successful
MEDICAL,2048,4.4,3 months,between 40-50,1,above 4,Everyone,successful
MEDICAL,16,2.4,3 months,less than 10,0.05,above 4,Everyone,Not Successful
MEDICAL,71,3.1,more than 6 months,less than 10,0.5,above 4,Everyone,Not Successful
MEDICAL,567,2.9,more than 6 months,less than 10,0.5,above 6,Teen,Not Successful
MEDICAL,1824,4.5,more than 6 months,less than 10,1,above 6,Everyone,successful
MEDICAL,3694,3.6,more than 6 months,between 10-20,1,above 4,Everyone,Not Successful
MEDICAL,2280,3.5,more than 6 months,between 10-20,1,above 4,Everyone,Not Successful
MEDICAL,178,3,more than 6 months,less than 10,1,above 4,Everyone,Not Successful
MEDICAL,195,3.8,more than 6 months,between 10-20,1,above 4,Teen,Not Successful
MEDICAL,132,3.6,more than 6 months,between 20-30,0.5,above 4,Everyone,Not Successful
MEDICAL,43,4.1,6 months,between 10-20,0.1,above 4,Everyone,Not Successful
MEDICAL,0,3.9,3 months,between 10-20,0.5,above 4,Everyone,Not Successful
MEDICAL,20289,4.7,3 months,between 20-30,10,above 4,Everyone,successful
MEDICAL,660,2.3,6 months,less than 10,1,above 4,Everyone,Not Successful
MEDICAL,537,3.2,3 months,between 30-40,0.5,above 4,Everyone,Not Successful
MEDICAL,3505,3.7,3 months,between 10-20,5,above 5,Everyone,Not Successful
MEDICAL,8152,3.7,3 months,between 10-20,10,above 4,Everyone,Not Successful
MEDICAL,1042,3.4,3 months,less than 10,1,above 5,Everyone,Not Successful
MEDICAL,331,3.9,1 month,between 10-20,1,above 4,Everyone ,Not Successful
MEDICAL,248745,4.6,1 month,between 10-20,100,above 5,Everyone,successful
MEDICAL,148459,4.5,3 months,between 10-20,50,above 5,Everyone,successful
NEWS_AND_MAGAZINES,64617,3.3,1 month,less than 10,10,above 5,Teen,Not Successful
MUSIC_AND_AUDIO,29036,4.5,6 months,less than 10,10,above 4,Everyone,successful
MUSIC_AND_AUDIO,215078,4.6,3 months,between 20-30,10,above 4,Everyone,successful
MUSIC_AND_AUDIO,43458,4.2,3 months,between 30-40,500,above 4,Everyone,Not Successful
MUSIC_AND_AUDIO,1005375,4.3,more than 6 months,between 20-30,100,above 4,Everyone,successful
MUSIC_AND_AUDIO,251286,4.5,more than 6 months,between 10-20,100,above 6,Everyone,successful
MUSIC_AND_AUDIO,13156,4.5,more than 6 months,less than 10,10,above 4,Everyone,successful
MUSIC_AND_AUDIO,796687,4.5,3 months,between 20-30,500,above 5,Everyone,successful
ENTERTAINMENT,128232,3.9,more than 6 months,between 10-20,100,above 5,Everyone,Not Successful
MUSIC_AND_AUDIO,35707,3.8,more than 6 months,less than 10,50,above 6,Everyone,Not Successful
MUSIC_AND_AUDIO,3808466,4.1,1 month,between 30-40,1000,above 4,Teen,Not Successful
MUSIC_AND_AUDIO,3641000,4.4,3 months,between 10-20,1000,above 5,Teen,successful
MUSIC_AND_AUDIO,290580,4.8,more than 6 months,less than 10,100,above 4,Everyone,successful
MUSIC_AND_AUDIO,240999,4.8,3 months,between 10-20,100,above 5,Everyone,successful
MUSIC_AND_AUDIO,345,4.1,6 months,less than 10,0.5,above 5,Everyone,Not Successful
MUSIC_AND_AUDIO,1992386,4.5,1 month,between 20-30,500,above 5,Teen,successful
MUSIC_AND_AUDIO,1312841,4.4,3 months,less than 10,500,above 5,Everyone,successful
MUSIC_AND_AUDIO,29806,4.3,3 months,between 10-20,10,above 5,Teen,successful
MUSIC_AND_AUDIO,2435,4.5,more than 6 months,less than 10,1,above 4,Everyone,successful
MUSIC_AND_AUDIO,1753400,4.5,3 months,between 10-20,1000,above 5,Teen,successful
MUSIC_AND_AUDIO,4300562,4.1,3 months,above 50,50000,above 5,Teen,Not Successful
MUSIC_AND_AUDIO,2878059,4.6,1 month,between 20-30,1000,above 4,Teen,successful
MUSIC_AND_AUDIO,1088758,4.4,1 month,between 10-20,1000,above 4,Everyone,successful
MUSIC_AND_AUDIO,709806,4.6,more than 6 months,between 30-40,100,above 4,Everyone,successful
MUSIC_AND_AUDIO,1242703,4.6,1 month,less than 10,500,above 6,Everyone,successful
NEWS_AND_MAGAZINES,495119,4.7,1 month,between 10-20,50,above 5,Teen,successful
NEWS_AND_MAGAZINES,33247,2.6,more than 6 months,between 10-20,10,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,80450,4.6,1 month,between 10-20,10,above 4,Teen,successful
NEWS_AND_MAGAZINES,14358,3.4,1 month,between 10-20,10,above 5,Teen,Not Successful
VIDEO_PLAYERS,26131,4.7,6 months,less than 10,5,above 4,Everyone,successful
BOOKS_AND_REFERENCE,866776,4.6,3 months,between 30-40,1000,above 4,Teen,successful
BOOKS_AND_REFERENCE,7480,2.8,3 months,between 10-20,10,above 4,Teen,Not Successful
BOOKS_AND_REFERENCE,294,2.2,more than 6 months,between 40-50,0.5,above 5,Everyone,Not Successful
BOOKS_AND_REFERENCE,2520,3.4,3 months,between 30-40,1,above 4,Teen,Not Successful
BOOKS_AND_REFERENCE,2114,2.6,6 months,less than 10,1,above 5,Everyone,Not Successful
COMMUNICATION,2863,4.2,3 months,less than 10,5,above 5,Everyone,Not Successful
COMMUNICATION,1471,4.2,3 months,less than 10,1,above 4,Everyone,Not Successful
COMMUNICATION,144726,4.2,3 months,between 10-20,100,above 4,Everyone,Not Successful
COMMUNICATION,38937,4.1,3 months,between 10-20,10,above 4,Everyone,Not Successful
COMMUNICATION,166,3.2,6 months,less than 10,1,above 5,Everyone,Not Successful
COMMUNICATION,130642,3.3,3 months,between 30-40,100,above 4,Everyone,Not Successful
HEALTH_AND_FITNESS,333519,3.7,3 months,between 40-50,500,above 5,Everyone,Not Successful
HEALTH_AND_FITNESS,68591,4.8,3 months,less than 10,100,above 4,Everyone,successful
HEALTH_AND_FITNESS,8215,4,3 months,between 30-40,10,above 5,Everyone,Not Successful
HEALTH_AND_FITNESS,6224,3.5,3 months,between 10-20,5,above 5,Everyone,Not Successful
HEALTH_AND_FITNESS,11758,2.7,3 months,less than 10,50,above 5,Everyone,Not Successful
HEALTH_AND_FITNESS,1330,3,6 months,between 10-20,1,above 5,Everyone,Not Successful
HEALTH_AND_FITNESS,4242,4.6,3 months,above 50,1,above 5,Teen,successful
HEALTH_AND_FITNESS,24501,3.6,3 months,between 20-30,100,above 4,Everyone,Not Successful
HEALTH_AND_FITNESS,486,1.5,6 months,between 20-30,0.1,above 6,Everyone,Not Successful
HEALTH_AND_FITNESS,10556,4.6,3 months,between 30-40,1,above 5,Everyone,successful
MEDICAL,238150,4.6,3 months,between 10-20,100,above 5,Everyone,successful
MEDICAL,154682,4.6,3 months,less than 10,50,above 5,Everyone,successful
MEDICAL,626,3.7,6 months,between 10-20,0.5,above 4,Everyone,Not Successful
MEDICAL,3383,3.9,3 months,between 10-20,5,above 5,Everyone,Not Successful
MEDICAL,1517,3.7,3 months,between 20-30,1,above 4,Everyone,Not Successful
MEDICAL,47,3.3,3 months,less than 10,0.1,above 4,Everyone,Not Successful
MEDICAL,2798,3.8,3 months,less than 10,1,above 4,Everyone,Not Successful
MUSIC_AND_AUDIO,71226,4.4,3 months,between 10-20,50,above 4,Teen,successful
MUSIC_AND_AUDIO,2412,4.3,more than 6 months,less than 10,10,above 5,Everyone,successful
MUSIC_AND_AUDIO,65,3.8,more than 6 months,less than 10,1,above 5,Everyone,Not Successful
MUSIC_AND_AUDIO,6185,4.1,more than 6 months,between 20-30,10,above 5,Everyone,Not Successful
MUSIC_AND_AUDIO,76281,2.7,6 months,less than 10,50,above 4,Teen,Not Successful
MUSIC_AND_AUDIO,250991,4.1,3 months,less than 10,500,above 5,Everyone,Not Successful
VIDEO_PLAYERS,3486,4,3 months,between 10-20,5,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,64206,3.3,6 months,less than 10,10,above 5,Teen,Not Successful
BOOKS_AND_REFERENCE,107117,3.8,3 months,between 30-40,100,above 4,Everyone,Not Successful
BOOKS_AND_REFERENCE,1565739,4.2,3 months,between 10-20,10000,above 4,Teen,Not Successful
BOOKS_AND_REFERENCE,917743,4.1,3 months,between 40-50,1000,above 4,Teen,Not Successful
PHOTOGRAPHY,1310164,4.6,3 months,above 50,1000,above 4,Everyone,successful
PHOTOGRAPHY,8939147,4.3,3 months,between 30-40,5000,above 4,Teen,successful
BEAUTY,114845,4.2,more than 6 months,above 50,100,above 4,Everyone,Not Successful
PHOTOGRAPHY,4252667,4.5,1 month,above 50,1000,above 4,Everyone,successful
PHOTOGRAPHY,368473,4.7,3 months,between 10-20,100,above 4,Everyone,successful
PHOTOGRAPHY,94551,4.1,1 month,above 50,50,above 4,Everyone,Not Successful
PHOTOGRAPHY,138459,4.4,3 months,above 50,50,above 6,Everyone,successful
ENTERTAINMENT,10034,4.2,more than 6 months,between 20-30,5,above 6,Everyone,Not Successful
PHOTOGRAPHY,1149,4,3 months,between 20-30,1,above 4,Everyone,Not Successful
PHOTOGRAPHY,19594,3.2,more than 6 months,less than 10,10,above 4,Everyone,Not Successful
PHOTOGRAPHY,35647,4.3,more than 6 months,between 10-20,50,above 4,Everyone,successful
PHOTOGRAPHY,7586,4.4,more than 6 months,less than 10,10,above 4,Everyone,successful
PHOTOGRAPHY,578,4.3,more than 6 months,less than 10,1,above 6,Everyone,successful
PHOTOGRAPHY,24089,4.1,more than 6 months,less than 10,10,above 4,Everyone,Not Successful
PHOTOGRAPHY,72752,4,3 months,between 20-30,50,above 4,Everyone,Not Successful
PHOTOGRAPHY,168072,3.7,more than 6 months,less than 10,100,above 4,Everyone,Not Successful
PHOTOGRAPHY,204906,4.6,3 months,between 20-30,100,above 5,Everyone,successful
PHOTOGRAPHY,852197,4.5,1 month,less than 10,500,above 4,Teen,successful
PHOTOGRAPHY,16765,4.2,6 months,above 50,10,above 5,Everyone,Not Successful
PHOTOGRAPHY,1514558,4.6,1 month,between 20-30,500,above 4,Everyone,successful
PHOTOGRAPHY,870169,3.7,3 months,between 20-30,500,above 4,Everyone,Not Successful
PHOTOGRAPHY,4252662,4.5,1 month,above 50,1000,above 4,Everyone,successful
PHOTOGRAPHY,4412822,4.8,1 month,between 20-30,1000,above 4,Teen,successful
EDUCATION,175,3.5,1 month,between 10-20,1,above 4,Everyone,Not Successful
EDUCATION,226856,4.5,3 months,less than 10,100,above 4,Everyone,successful
EDUCATION,25552,3.8,3 months,above 50,100,above 4,Teen,Not Successful
EDUCATION,174,4.3,6 months,less than 10,0.5,above 6,Everyone,Not Successful
EDUCATION,67951,4.1,3 months,between 40-50,50,above 4,Everyone,Not Successful
EDUCATION,27916,4.1,1 month,less than 10,5,above 4,Everyone,Not Successful
EDUCATION,480,3.9,3 months,less than 10,0.5,above 4,Everyone,Not Successful
EDUCATION,719,3.5,3 months,less than 10,0.1,above 4,Everyone,Not Successful
EDUCATION,216,3.5,1 month,between 10-20,1,above 4,Everyone,Not Successful
EDUCATION,8510219,4.7,1 month,less than 10,1000,above 4,Everyone,successful
EDUCATION,3021,3.9,more than 6 months,less than 10,1,above 6,Everyone,Not Successful
EDUCATION,54248,4.7,3 months,between 10-20,10,above 4,Everyone ,successful
EDUCATION,28392,4.1,1 month,above 50,50,above 4,Everyone,Not Successful
EDUCATION,11036,4.5,3 months,less than 10,5,above 4,Everyone,successful
EDUCATION,73148,4.2,1 month,above 50,50,above 4,Everyone,Not Successful
EDUCATION,120731,4.3,3 months,between 10-20,100,above 5,Everyone,successful
EDUCATION,116226,4.4,more than 6 months,less than 10,10,above 4,Everyone,successful
EDUCATION,39066,4.6,1 month,less than 10,10,above 6,Everyone,successful
EDUCATION,156,4,3 months,less than 10,0.1,above 4,Everyone,Not Successful
EDUCATION,102,4.3,3 months,between 10-20,0.5,above 4,Everyone,Not Successful
EDUCATION,3465,4.1,1 month,between 10-20,10,above 4,Everyone,Not Successful
EDUCATION,4879,3.6,1 month,between 10-20,1,above 4,Everyone,Not Successful
EDUCATION,14253,4.5,1 month,less than 10,10,above 4,Everyone,successful
EDUCATION,1390069,4.7,1 month,between 20-30,500,above 4,Everyone,successful
EDUCATION,1061,4.1,6 months,between 10-20,1,above 6,Everyone,Not Successful
EDUCATION,67592,4.5,more than 6 months,less than 10,50,above 4,Everyone,successful
EDUCATION,14476,4.2,1 month,between 20-30,10,above 4,Everyone,Not Successful
EDUCATION,22736,4.6,more than 6 months,between 20-30,50,above 4,Everyone,successful
EDUCATION,109,4.2,6 months,between 10-20,0.5,above 4,Everyone,Not Successful
EDUCATION,1069,4.3,6 months,between 10-20,1,above 4,Everyone,successful
EDUCATION,11209,3.6,6 months,between 10-20,5,above 4,Everyone,Not Successful
EDUCATION,453,3.6,6 months,less than 10,0.1,above 4,Everyone,Not Successful
EDUCATION,423,4.2,1 month,between 10-20,1,above 4,Teen,Not Successful
EDUCATION,24902,4.5,1 month,between 10-20,5,above 4,Everyone,successful
EDUCATION,19657,4,1 month,between 10-20,10,above 4,Everyone,Not Successful
EDUCATION,4775,4.4,1 month,between 30-40,10,above 4,Everyone,successful
EDUCATION,1600,4,3 months,less than 10,10,above 5,Everyone,Not Successful
EDUCATION,7300,4.1,1 month,between 10-20,10,above 4,Everyone,Not Successful
EDUCATION,5219,4.7,6 months,between 20-30,1,above 5,Everyone,successful
EDUCATION,161,4.5,1 month,between 10-20,0.1,above 5,Everyone,Not Successful
EDUCATION,14382,4.5,1 month,between 10-20,10,above 4,Everyone,successful
EDUCATION,35741,4.8,1 month,between 20-30,10,above 4,Mature ,successful
EDUCATION,59,2.8,1 month,between 30-40,0.1,above 4,Everyone,Not Successful
EDUCATION,1202,4.1,3 months,less than 10,1,above 5,Everyone ,Not Successful
EDUCATION,59800,4.8,3 months,between 10-20,10,above 5,Everyone,successful
EDUCATION,410340,4.4,1 month,above 50,100,above 5,Everyone,successful
EDUCATION,246900,4.4,1 month,above 50,100,above 5,Everyone,successful
EDUCATION,18798,4.1,1 month,between 20-30,10,above 5,Everyone,Not Successful
EDUCATION,25886,4.5,1 month,between 10-20,10,above 5,Everyone,successful
FOOD_AND_DRINK,732,3.9,1 month,between 10-20,1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,0,3.9,1 month,between 10-20,0.0005,above 5,Everyone,Not Successful
FOOD_AND_DRINK,9249,4.7,1 month,between 10-20,10,above 6,Everyone,successful
FOOD_AND_DRINK,1089,2.7,3 months,less than 10,0.5,above 6,Everyone,Not Successful
FOOD_AND_DRINK,10,3.8,1 month,between 30-40,0.005,above 4,Teen,Not Successful
FOOD_AND_DRINK,1375,3.2,1 month,less than 10,1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,25255,4.1,1 month,between 10-20,10,above 4,Everyone,Not Successful
FOOD_AND_DRINK,728,3.5,1 month,between 10-20,0.1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,50,4.6,more than 6 months,less than 10,0.1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,112771,4.1,1 month,between 20-30,50,above 4,Everyone,Not Successful
FOOD_AND_DRINK,0,3.5,1 month,between 10-20,0.001,above 4,Everyone,Not Successful
FOOD_AND_DRINK,5446,4.1,1 month,less than 10,1,above 5,Everyone,Not Successful
FOOD_AND_DRINK,2630,4.7,3 months,less than 10,1,above 5,Everyone,successful
FOOD_AND_DRINK,37,5,1 month,less than 10,0.001,above 6,Everyone,Not Successful
FOOD_AND_DRINK,120,4.3,3 months,between 10-20,0.01,above 4,Everyone,Not Successful
FOOD_AND_DRINK,0,3.9,6 months,less than 10,0.001,above 4,Everyone,Not Successful
FOOD_AND_DRINK,159,3.5,1 month,less than 10,0.1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,8,4.6,3 months,between 10-20,0.005,above 4,Teen,Not Successful
FOOD_AND_DRINK,196,3,3 months,less than 10,1,above 5,Everyone,Not Successful
FOOD_AND_DRINK,27,3.6,3 months,less than 10,0.01,above 5,Everyone,Not Successful
FOOD_AND_DRINK,561,4.1,3 months,between 10-20,1,above 5,Everyone,Not Successful
FOOD_AND_DRINK,472,4.8,3 months,between 10-20,0.1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,23,4.8,3 months,less than 10,0.005,above 5,Everyone,Not Successful
FOOD_AND_DRINK,3311,3.9,1 month,less than 10,1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,176220,3.5,3 months,between 30-40,100,above 5,Everyone,Not Successful
FOOD_AND_DRINK,9,4.9,6 months,between 10-20,0.005,above 4,Everyone,Not Successful
FOOD_AND_DRINK,9,5,1 month,less than 10,0.001,above 5,Everyone,Not Successful
FOOD_AND_DRINK,7,5,1 month,between 10-20,0.001,above 4,Everyone,Not Successful
FOOD_AND_DRINK,6,5,1 month,between 10-20,0.01,above 4,Everyone,Not Successful
FOOD_AND_DRINK,27,4,more than 6 months,between 10-20,0.1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,0,4,1 month,between 10-20,0.001,above 4,Everyone,Not Successful
FOOD_AND_DRINK,7,5,1 month,less than 10,0.0001,above 4,Everyone,Not Successful
FOOD_AND_DRINK,5553,4.2,3 months,between 10-20,5,above 5,Everyone,Not Successful
FOOD_AND_DRINK,315,3.6,1 month,between 10-20,0.5,above 4,Teen,Not Successful
FOOD_AND_DRINK,2294,3.5,more than 6 months,less than 10,1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,1864,3.6,3 months,less than 10,0.5,above 4,Everyone,Not Successful
FOOD_AND_DRINK,50,4.8,3 months,less than 10,0.01,above 5,Everyone,Not Successful
FOOD_AND_DRINK,68405,4.5,1 month,between 10-20,10,above 5,Everyone,successful
FOOD_AND_DRINK,13,4,3 months,less than 10,0.01,above 6,Everyone,Not Successful
FOOD_AND_DRINK,80809,4.7,3 months,between 10-20,50,above 5,Everyone,successful
FOOD_AND_DRINK,39,3.3,more than 6 months,less than 10,0.01,above 4,Everyone,Not Successful
FOOD_AND_DRINK,2007462,4.1,1 month,between 30-40,1000,above 5,Everyone,Not Successful
FOOD_AND_DRINK,13,3.9,1 month,between 30-40,0.01,above 4,Everyone,Not Successful
FOOD_AND_DRINK,6,4,3 months,less than 10,0.001,above 4,Everyone,Not Successful
FOOD_AND_DRINK,16,5,1 month,less than 10,0.001,above 5,Everyone,Not Successful
FOOD_AND_DRINK,754,4.2,3 months,between 10-20,0.1,above 5,Everyone,Not Successful
FOOD_AND_DRINK,16,3.2,6 months,less than 10,0.05,above 4,Mature ,Not Successful
FOOD_AND_DRINK,540,4.3,more than 6 months,less than 10,0.5,above 4,Everyone,Not Successful
FOOD_AND_DRINK,5503,4.5,1 month,between 20-30,5,above 4,Everyone,successful
FOOD_AND_DRINK,6515,4.5,more than 6 months,between 10-20,5,above 6,Everyone,successful
GAME_RACING,5796,4.7,1 month,above 50,1,above 4,Everyone,successful
GAME_WORD,20,4.8,1 month,above 50,0.01,above 4,Everyone,Not Successful
GAME_SPORTS,458175,4.1,6 months,above 50,500,above 4,Everyone,Not Successful
GAME_ACTION,4476,4.3,1 month,between 40-50,10,above 4,Teen,successful
