Category,No. of reviews,Rating,Time elapsed after the last update,Size,"No. of Installations
GAME_SPORTS,37682,4.7,1 month,between 40-50,10,above 4,Everyone ,successful
GAME_RACING,17068,3.9,3 months,above 50,100,above 4,Everyone,Not Successful
GAME_RACING,5617,4,1 month,between 40-50,10,above 4,Everyone,Not Successful
GAME_ACTION,118725,4.1,1 month,above 50,100,above 4,Everyone,Not Successful
GAME_WORD,10464,4.5,1 month,less than 10,10,above 6,Teen,successful
GAME_RACING,2816155,4.2,1 month,above 50,1000,above 4,Everyone,Not Successful
GAME_ACTION,16264,3.4,3 months,between 40-50,10,above 5,Mature ,Not Successful
GAME_STRATEGY,125,3.5,more than 6 months,above 50,0.1,above 4,Teen,Not Successful
GAME_STRATEGY,820552,4.6,1 month,above 50,100,above 4,Everyone ,successful
GAME_STRATEGY,165899,4.4,more than 6 months,above 50,50,above 4,Everyone,successful
GAME_WORD,211981,4,1 month,above 50,100,above 5,Everyone,Not Successful
GAME_STRATEGY,111,3.8,1 month,between 40-50,1,above 4,Everyone,Not Successful
GAME_ACTION,361457,4.4,1 month,between 30-40,100,above 4,Teen,successful
GAME_SPORTS,2031,4.3,more than 6 months,between 40-50,5,above 4,Everyone,successful
GAME_RACING,26994,4,6 months,between 40-50,100,above 4,Everyone,Not Successful
GAME_STRATEGY,97301,4.3,3 months,between 30-40,100,above 4,Everyone,successful
GAME_STRATEGY,160362,4.5,3 months,above 50,50,above 4,Everyone,successful
GAME_ACTION,24315454,4.4,3 months,between 40-50,1000,above 4,Teen,successful
GAME_RACING,186411,4.3,3 months,above 50,100,above 4,Everyone,successful
GAME_STRATEGY,69661,4.4,1 month,between 40-50,50,above 4,Everyone,successful
GAME_ACTION,633267,4.1,3 months,above 50,500,above 4,Mature ,Not Successful
GAME_RACING,9110,4.1,3 months,above 50,10,above 4,Everyone ,Not Successful
GAME_RACING,6278756,4.5,1 month,between 30-40,1000,above 4,Everyone,successful
GAME_WORD,485,3.6,6 months,between 40-50,1,above 4,Everyone,Not Successful
GAME_SPORTS,6180612,4.3,3 months,above 50,1000,above 4,Everyone,successful
GAME_SPORTS,1052573,4.4,1 month,above 50,500,above 4,Everyone,successful
GAME_SPORTS,36682,4.4,3 months,between 40-50,10,above 4,Everyone,successful
GAME_SPORTS,12374,4.1,1 month,between 30-40,10,above 4,Everyone,Not Successful
GAME_ACTION,105161,4.2,more than 6 months,between 20-30,100,above 4,Teen,Not Successful
GAME_SPORTS,1429619,4.2,more than 6 months,between 40-50,1000,above 4,Everyone ,Not Successful
GAME_ACTION,30350,3.2,3 months,above 50,50,above 4,Teen,Not Successful
GAME_RACING,6327,4.3,3 months,between 40-50,10,above 4,Everyone,successful
GAME_SPORTS,263797,4.4,1 month,above 50,100,above 4,Everyone,successful
GAME_RACING,59101,4,1 month,above 50,100,above 4,Everyone,Not Successful
GAME_WORD,269,3.6,3 months,between 10-20,1,above 4,Everyone,Not Successful
GAME_ACTION,8620,3.4,3 months,between 40-50,10,above 4,Teen,Not Successful
GAME_STRATEGY,229121,4.1,6 months,between 10-20,100,above 4,Everyone,Not Successful
GAME_WORD,2338,4.5,1 month,between 30-40,1,above 4,Everyone,successful
GAME_WORD,483,3.9,3 months,less than 10,1,above 4,Everyone,Not Successful
GAME_WORD,103377,4.7,1 month,above 50,100,above 4,Everyone,successful
GAME_STRATEGY,87003,3.9,6 months,between 20-30,100,above 4,Everyone ,Not Successful
GAME_SPORTS,74487,4,3 months,between 10-20,100,above 4,Everyone,Not Successful
GAME_STRATEGY,4609721,4.4,1 month,above 50,1000,above 4,Everyone ,successful
GAME_ACTION,3776065,4.3,1 month,above 50,500,above 6,Mature ,successful
SOCIAL,1800,4.1,3 months,between 20-30,10,above 4,Teen,Not Successful
SOCIAL,0,3.6,1 month,between 10-20,0.0001,above 5,Everyone,Not Successful
SOCIAL,34575,3.4,more than 6 months,between 10-20,10,above 6,Mature ,Not Successful
SOCIAL,9,5,1 month,between 10-20,0.005,above 4,Everyone,Not Successful
SOCIAL,15233,4.3,1 month,between 20-30,10,above 4,Mature ,successful
SOCIAL,734,4,6 months,less than 10,1,above 4,Mature ,Not Successful
SOCIAL,8,3.8,6 months,less than 10,0.005,above 4,Everyone,Not Successful
SOCIAL,356,4.3,3 months,less than 10,1,above 5,Teen,successful
SOCIAL,175,3.4,1 month,less than 10,0.1,above 4,Everyone,Not Successful
SOCIAL,539785,4.5,1 month,between 40-50,100,above 4,Everyone,successful
SOCIAL,9236,4.1,3 months,less than 10,1,above 4,Teen,Not Successful
SOCIAL,37582,4.1,3 months,above 50,100,above 4,Teen,Not Successful
SOCIAL,100,4.4,3 months,less than 10,0.5,above 5,Teen,Not Successful
SOCIAL,386718,3.4,1 month,between 30-40,100,above 4,Mature ,Not Successful
SOCIAL,0,4.1,1 month,between 10-20,0.05,above 4,Teen,Not Successful
SOCIAL,115262,4.5,1 month,between 40-50,50,above 4,Mature ,successful
SOCIAL,885,4.3,6 months,less than 10,1,above 6,Mature ,successful
SOCIAL,1764,4.3,3 months,between 10-20,100,above 4,Teen,successful
SOCIAL,605,1.8,3 months,between 20-30,1,above 4,Everyone,Not Successful
SOCIAL,8,1.5,1 month,less than 10,0.01,above 4,Everyone,Not Successful
SOCIAL,134922,4.3,3 months,between 10-20,50,above 5,Mature ,successful
SOCIAL,0,4.2,3 months,less than 10,0.005,above 4,Teen,Not Successful
SOCIAL,90442,4.2,3 months,between 10-20,50,above 4,Mature ,Not Successful
SOCIAL,674,3.8,more than 6 months,less than 10,1,above 4,Teen,Not Successful
SOCIAL,10,4.5,1 month,between 20-30,0.005,above 5,Teen,Not Successful
SOCIAL,1664,3.8,1 month,less than 10,1,above 4,Mature ,Not Successful
SOCIAL,12,4.6,1 month,less than 10,0.0005,above 4,Teen,Not Successful
SOCIAL,17768,4.5,3 months,less than 10,10,above 5,Teen,successful
SOCIAL,13698,4.1,more than 6 months,less than 10,10,above 4,Mature ,Not Successful
SOCIAL,3618,4.7,1 month,between 10-20,1,above 4,Mature ,successful
SOCIAL,21,4.6,1 month,between 10-20,0.05,above 4,Mature ,Not Successful
SOCIAL,127,3.4,6 months,between 10-20,0.5,above 6,Teen,Not Successful
SOCIAL,49286,4.4,1 month,between 20-30,10,above 4,Teen,successful
SOCIAL,232428,4.3,1 month,between 20-30,100,above 4,Teen,successful
SOCIAL,509673,4.5,1 month,less than 10,100,above 4,Mature ,successful
SOCIAL,145764,4.2,1 month,between 10-20,100,above 4,Mature ,Not Successful
SOCIAL,149,4.3,more than 6 months,less than 10,0.1,above 4,Everyone,Not Successful
SOCIAL,1148713,4.3,1 month,between 30-40,500,above 4,Mature ,successful
SOCIAL,0,3.8,1 month,less than 10,0.001,above 4,Everyone,Not Successful
SOCIAL,204213,4.4,3 months,between 30-40,100,above 4,Mature ,successful
SOCIAL,400972,4.3,1 month,between 20-30,100,above 5,Everyone,successful
SOCIAL,5986,4.1,1 month,between 10-20,5,above 4,Mature ,Not Successful
SOCIAL,3833094,4.4,1 month,above 50,1000,above 4,Mature ,successful
SOCIAL,356,3.9,3 months,between 10-20,5,above 5,Mature ,Not Successful
SOCIAL,102,4.4,1 month,less than 10,0.1,above 5,Teen,Not Successful
SOCIAL,0,3.9,1 month,less than 10,0.005,above 6,Everyone,Not Successful
SOCIAL,76892,4.1,1 month,above 50,100,above 5,Mature ,Not Successful
SOCIAL,1041,4.6,3 months,less than 10,1,above 4,Everyone,successful
SOCIAL,359606,3.9,3 months,between 40-50,100,above 4,Mature ,Not Successful
TRAVEL_AND_LOCAL,90929,4.4,1 month,between 10-20,10,above 4,Everyone,successful
TRAVEL_AND_LOCAL,0,4,1 month,less than 10,0.005,above 4,Teen,Not Successful
TRAVEL_AND_LOCAL,5637,4.5,1 month,between 20-30,1,above 4,Everyone,successful
TRAVEL_AND_LOCAL,983,4.4,3 months,between 40-50,10,above 4,Mature ,successful
TRAVEL_AND_LOCAL,981,4.4,3 months,between 40-50,10,above 4,Mature ,successful
TRAVEL_AND_LOCAL,2446911,4.8,1 month,between 30-40,1000,above 4,Everyone,successful
TRAVEL_AND_LOCAL,1873,4.2,1 month,between 40-50,1,above 5,Everyone,Not Successful
TRAVEL_AND_LOCAL,2711,3.8,more than 6 months,between 30-40,10,above 4,Teen,Not Successful
TRAVEL_AND_LOCAL,1546,4.3,3 months,less than 10,5,above 4,Everyone,successful
TRAVEL_AND_LOCAL,24,3.7,1 month,between 10-20,0.01,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,2535851,4.4,3 months,less than 10,1000,above 4,Everyone,successful
TRAVEL_AND_LOCAL,45676,4.2,more than 6 months,less than 10,1000,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,397,4.1,1 month,less than 10,1,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,47,5,1 month,less than 10,0.001,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,59431,4.2,1 month,between 10-20,100,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,1134,3.3,1 month,between 20-30,1,above 4,Teen,Not Successful
TRAVEL_AND_LOCAL,57272,4,3 months,less than 10,50,above 5,Everyone,Not Successful
TRAVEL_AND_LOCAL,6755,4.3,1 month,less than 10,10,above 4,Everyone,successful
TRAVEL_AND_LOCAL,88,4.6,6 months,between 20-30,0.1,above 5,Everyone,Not Successful
TRAVEL_AND_LOCAL,82745,4.4,1 month,less than 10,50,above 5,Everyone,successful
TRAVEL_AND_LOCAL,312711,4.4,3 months,between 20-30,100,above 4,Everyone,successful
TRAVEL_AND_LOCAL,23192,4.6,1 month,between 20-30,50,above 4,Everyone,successful
TRAVEL_AND_LOCAL,4266,3.9,3 months,less than 10,10,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,18815,4.7,1 month,between 10-20,10,above 4,Everyone,successful
TRAVEL_AND_LOCAL,1448,4.6,1 month,between 10-20,0.5,above 5,Everyone,Not Successful
TRAVEL_AND_LOCAL,4293,4.1,3 months,less than 10,10,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,296,4.4,1 month,between 30-40,1,above 5,Everyone,successful
TRAVEL_AND_LOCAL,404828,4.5,1 month,between 10-20,100,above 4,Everyone,successful
TRAVEL_AND_LOCAL,2849,4.4,more than 6 months,between 10-20,5,above 6,Everyone,successful
TRAVEL_AND_LOCAL,5285,4.1,3 months,between 40-50,50,above 4,Everyone ,Not Successful
TRAVEL_AND_LOCAL,0,3.8,1 month,between 10-20,0.0005,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,78796,4.4,more than 6 months,between 10-20,1000,above 4,Everyone,successful
TRAVEL_AND_LOCAL,251893,4.3,1 month,less than 10,100,above 4,Everyone,successful
TRAVEL_AND_LOCAL,8,4.5,1 month,less than 10,0.01,above 5,Everyone,Not Successful
TRAVEL_AND_LOCAL,9969,4.6,1 month,less than 10,10,above 4,Everyone,successful
TRAVEL_AND_LOCAL,702,4.8,3 months,less than 10,0.5,above 5,Everyone,Not Successful
TRAVEL_AND_LOCAL,23,4.7,1 month,between 20-30,0.01,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,245,4,1 month,less than 10,0.5,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,0,3.7,1 month,between 20-30,0.005,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,108,4.5,3 months,less than 10,0.1,above 5,Teen,Not Successful
TRAVEL_AND_LOCAL,173,4.2,1 month,less than 10,0.05,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,116,3.9,3 months,between 10-20,1,above 5,Everyone,Not Successful
TRAVEL_AND_LOCAL,138,4.2,1 month,less than 10,0.05,above 5,Everyone,Not Successful
TRAVEL_AND_LOCAL,2452,4.1,1 month,less than 10,10,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,0,4.4,1 month,between 10-20,0.01,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,4225,4.2,3 months,less than 10,10,above 4,Everyone,Not Successful
TRAVEL_AND_LOCAL,8904,4,3 months,above 50,10,above 6,Everyone,Not Successful
TRAVEL_AND_LOCAL,33460,4.5,1 month,between 10-20,10,above 5,Everyone,successful
TRAVEL_AND_LOCAL,1059,3.8,1 month,between 10-20,0.5,above 5,Mature ,Not Successful
TRAVEL_AND_LOCAL,85854,4.8,1 month,between 10-20,50,above 4,Everyone,successful
ENTERTAINMENT,449,4.2,1 month,between 10-20,1,above 4,Teen,Not Successful
ENTERTAINMENT,449,4.2,1 month,between 10-20,1,above 4,Teen,Not Successful
ENTERTAINMENT,449,4.2,1 month,between 10-20,1,above 4,Teen,Not Successful
ENTERTAINMENT,449,4.2,1 month,between 10-20,1,above 4,Teen,Not Successful
PHOTOGRAPHY,24087,4.1,more than 6 months,less than 10,10,above 4,Everyone,Not Successful
PERSONALIZATION,1520,4.3,1 month,between 10-20,1,above 4,Everyone,successful
PHOTOGRAPHY,1336,4,more than 6 months,between 20-30,5,above 6,Everyone,Not Successful
PHOTOGRAPHY,1268,3.1,1 month,between 10-20,1,above 4,Everyone,Not Successful
PHOTOGRAPHY,118,4.6,more than 6 months,less than 10,0.01,above 6,Everyone,Not Successful
PHOTOGRAPHY,1126094,4.8,1 month,between 40-50,100,above 4,Everyone,successful
PHOTOGRAPHY,675692,4.6,more than 6 months,above 50,100,above 4,Everyone,successful
PHOTOGRAPHY,411274,4.6,1 month,between 20-30,100,above 4,Everyone,successful
BEAUTY,331,3.9,3 months,between 20-30,1,above 4,Everyone,Not Successful
BEAUTY,17778,4.8,1 month,between 20-30,1,above 4,Everyone,successful
BEAUTY,6,4.3,more than 6 months,less than 10,0.01,above 4,Everyone,Not Successful
BEAUTY,0,3.2,more than 6 months,less than 10,0.005,above 4,Everyone,Not Successful
LIFESTYLE,0,3.9,more than 6 months,less than 10,0.0001,above 4,Everyone,Not Successful
BEAUTY,125,3.9,more than 6 months,less than 10,1,above 4,Everyone,Not Successful
BEAUTY,2421,4.1,more than 6 months,above 50,10,above 5,Everyone,Not Successful
BEAUTY,2421,4.1,more than 6 months,above 50,10,above 5,Everyone,Not Successful
BEAUTY,1244,4.6,3 months,between 10-20,1,above 5,Everyone,successful
BEAUTY,1165,4.4,1 month,between 10-20,10,above 4,Everyone,successful
BEAUTY,159,3.2,1 month,between 20-30,1,above 4,Everyone,Not Successful
BEAUTY,1205,2.5,6 months,between 20-30,0.5,above 4,Everyone,Not Successful
BEAUTY,0,3.9,more than 6 months,less than 10,0.0001,above 6,Everyone,Not Successful
BEAUTY,44,3.2,6 months,less than 10,0.1,above 5,Everyone,Not Successful
BEAUTY,16,4.4,1 month,less than 10,0.01,above 6,Everyone,Not Successful
BEAUTY,215,4.4,3 months,between 20-30,0.1,above 5,Everyone,Not Successful
BEAUTY,199,4,1 month,between 30-40,0.1,above 5,Everyone,Not Successful
BEAUTY,0,3.7,more than 6 months,less than 10,0.0001,above 6,Everyone,Not Successful
BEAUTY,0,4,more than 6 months,above 50,0.01,above 5,Everyone,Not Successful
BEAUTY,21,3.7,3 months,less than 10,0.01,above 6,Everyone,Not Successful
BEAUTY,2234,3.9,1 month,less than 10,1,above 4,Everyone,Not Successful
FINANCE,5,4.8,3 months,less than 10,0.001,above 4,Everyone,Not Successful
BEAUTY,450,4.4,6 months,between 20-30,0.5,above 4,Everyone,Not Successful
LIFESTYLE,176,3.9,3 months,between 10-20,0.1,above 4,Everyone,Not Successful
PHOTOGRAPHY,34990,4.8,more than 6 months,between 20-30,10,above 4,Everyone,successful
ENTERTAINMENT,14922,4.4,more than 6 months,above 50,5,above 6,Everyone,successful
PHOTOGRAPHY,3184,3.4,more than 6 months,less than 10,10,above 6,Everyone,Not Successful
DATING,587,3.5,1 month,less than 10,5,above 4,Mature ,Not Successful
DATING,3255,3.8,3 months,less than 10,10,above 6,Mature ,Not Successful
DATING,34,3.6,3 months,less than 10,0.5,above 4,Mature ,Not Successful
DATING,18,3.6,1 month,between 10-20,0.1,above 4,Mature ,Not Successful
DATING,102,3.7,1 month,between 10-20,0.5,above 4,Mature ,Not Successful
DATING,4090,4.7,1 month,between 20-30,1,above 5,Mature ,successful
DATING,13909,4.2,1 month,between 30-40,10,above 4,Mature ,Not Successful
SOCIAL,5787,4.3,6 months,between 10-20,5,above 4,Mature ,successful
SOCIAL,5787,4.3,6 months,between 10-20,5,above 4,Mature ,successful
DATING,808,2.7,1 month,between 30-40,1,above 5,Mature ,Not Successful
DATING,280,4.3,3 months,between 20-30,0.5,above 6,Mature ,Not Successful
DATING,1926,2.1,more than 6 months,less than 10,5,above 4,Mature ,Not Successful
DATING,4285,4.2,3 months,between 20-30,1,above 4,Mature ,Not Successful
DATING,34642,4.5,1 month,less than 10,10,above 4,Mature ,successful
SOCIAL,2683,4.2,1 month,less than 10,1,above 4,Mature ,Not Successful
ART_AND_DESIGN,12739,3.9,1 month,above 50,10,above 6,Everyone,Not Successful
ART_AND_DESIGN,1376,3.9,1 month,less than 10,10,above 4,Everyone,Not Successful
ENTERTAINMENT,2652,3.7,3 months,between 20-30,10,above 4,Everyone,Not Successful
ENTERTAINMENT,2964,4.3,3 months,between 10-20,5,above 4,Everyone,successful
ENTERTAINMENT,711045,4,1 month,between 10-20,500,above 5,Teen,Not Successful
ENTERTAINMENT,36820,3.4,1 month,between 20-30,50,above 4,Teen,Not Successful
ENTERTAINMENT,88803,4.5,1 month,less than 10,50,above 4,Teen,successful
PRODUCTIVITY,65,4.2,1 month,less than 10,0.1,above 5,Everyone,Not Successful
NEWS_AND_MAGAZINES,18,2.8,1 month,between 10-20,0.005,above 4,Teen,Not Successful
ENTERTAINMENT,2946,2.9,more than 6 months,between 10-20,5,above 4,Teen,Not Successful
NEWS_AND_MAGAZINES,4705,4.4,3 months,less than 10,5,above 6,Everyone ,successful
VIDEO_PLAYERS,8739,4.7,6 months,between 30-40,5,above 4,Everyone,successful
ENTERTAINMENT,67265,4.4,3 months,less than 10,10,above 5,Mature ,successful
ENTERTAINMENT,4564,4.5,1 month,between 40-50,0.5,above 4,Everyone,Not Successful
VIDEO_PLAYERS,118,4.5,more than 6 months,less than 10,0.001,above 5,Everyone,Not Successful
SOCIAL,3880,4.2,3 months,between 20-30,1,above 4,Teen,Not Successful
LIBRARIES_AND_DEMO,8195,4.7,1 month,between 10-20,0.1,above 4,Everyone,Not Successful
VIDEO_PLAYERS,426,4.1,1 month,less than 10,0.1,above 5,Everyone,Not Successful
ENTERTAINMENT,128551,3.7,3 months,less than 10,50,above 4,Teen,Not Successful
ENTERTAINMENT,81088,4.2,6 months,less than 10,10,above 6,Teen,Not Successful
ENTERTAINMENT,14437,2.9,1 month,less than 10,1,above 4,Teen,Not Successful
ENTERTAINMENT,2413,4.2,3 months,less than 10,1,above 4,Everyone,Not Successful
SPORTS,2310,4,more than 6 months,less than 10,1,above 4,Everyone,Not Successful
SPORTS,14413,4.8,6 months,less than 10,10,above 4,Everyone,successful
ENTERTAINMENT,1246681,4.4,3 months,between 20-30,1000,above 4,Teen,successful
MUSIC_AND_AUDIO,185220,4.4,3 months,above 50,100,above 6,Everyone,successful
MUSIC_AND_AUDIO,1508915,4.4,3 months,between 40-50,1000,above 5,Teen,successful
ENTERTAINMENT,1092,2.6,1 month,between 10-20,1,above 5,Mature ,Not Successful
ENTERTAINMENT,2208,4.1,1 month,less than 10,10,above 6,Everyone,Not Successful
ENTERTAINMENT,4506,4.1,1 month,between 20-30,10,above 4,Teen,Not Successful
ENTERTAINMENT,4539,4.1,more than 6 months,less than 10,0.5,above 4,Everyone,Not Successful
ENTERTAINMENT,598,3.8,6 months,less than 10,0.5,above 5,Everyone,Not Successful
ENTERTAINMENT,1164,4,6 months,less than 10,0.1,above 4,Everyone,Not Successful
ENTERTAINMENT,48,4.6,1 month,less than 10,0.5,above 6,Everyone,Not Successful
ENTERTAINMENT,164,4.2,1 month,between 20-30,1,above 4,Everyone,Not Successful
PHOTOGRAPHY,46038,4.5,more than 6 months,less than 10,10,above 6,Everyone,successful
PHOTOGRAPHY,46038,4.5,more than 6 months,less than 10,10,above 6,Everyone,successful
ART_AND_DESIGN,29,4,3 months,between 20-30,0.5,above 4,Everyone,Not Successful
ART_AND_DESIGN,47,4.2,6 months,between 20-30,1,above 4,Everyone,Not Successful
ART_AND_DESIGN,635,4,1 month,between 30-40,10,above 4,Everyone,Not Successful
EDUCATION,915,4.2,6 months,above 50,10,above 4,Everyone,Not Successful
ART_AND_DESIGN,1707,4.4,1 month,between 30-40,1,above 4,Everyone,successful
ART_AND_DESIGN,1923,4.4,3 months,between 20-30,1,above 6,Everyone,successful
ART_AND_DESIGN,10770,4.3,3 months,between 20-30,10,above 6,Everyone,successful
ART_AND_DESIGN,519,3.2,more than 6 months,less than 10,1,above 4,Everyone,Not Successful
BEAUTY,18982,4.5,more than 6 months,above 50,5,above 5,Everyone,successful
BEAUTY,18990,4.5,more than 6 months,above 50,5,above 5,Everyone,successful
BEAUTY,18986,4.5,more than 6 months,above 50,5,above 5,Everyone,successful
PHOTOGRAPHY,172454,4.1,more than 6 months,between 20-30,100,above 4,Everyone,Not Successful
GAME_CASUAL,50681,4.6,1 month,between 10-20,10,above 4,Everyone,successful
GAME_PUZZLE,522,4.6,3 months,less than 10,1,above 5,Everyone,successful
GAME_PUZZLE,522,4.6,3 months,less than 10,1,above 5,Everyone,successful
SHOPPING,955079,4.7,3 months,between 40-50,100,above 4,Teen,successful
SHOPPING,33474,4.5,1 month,between 10-20,10,above 4,Everyone,successful
SHOPPING,3051,4,1 month,between 30-40,5,above 5,Everyone,Not Successful
SHOPPING,3051,4,1 month,between 30-40,5,above 5,Everyone,Not Successful
SHOPPING,0,4,3 months,less than 10,0.1,above 4,Teen,Not Successful
SHOPPING,1517,3.9,1 month,less than 10,1,above 5,Everyone,Not Successful
SHOPPING,1517,3.9,1 month,less than 10,1,above 5,Everyone,Not Successful
SHOPPING,101,4.1,6 months,less than 10,0.1,above 5,Everyone,Not Successful
SHOPPING,11,4.3,more than 6 months,less than 10,0.005,above 6,Everyone,Not Successful
SHOPPING,51085,4.2,1 month,between 10-20,10,above 4,Everyone,Not Successful
SHOPPING,56,4.1,3 months,between 10-20,0.1,above 5,Everyone,Not Successful
SHOPPING,9075433,4.4,1 month,between 20-30,1000,above 4,Teen,successful
SHOPPING,215462,4.5,more than 6 months,between 20-30,50,above 4,Everyone,successful
SHOPPING,2155,4.3,1 month,less than 10,10,above 5,Everyone,successful
SHOPPING,11907,4.6,3 months,less than 10,10,above 5,Everyone,successful
SHOPPING,12014,3.9,1 month,between 10-20,10,above 4,Everyone,Not Successful
SHOPPING,9701,4.6,1 month,between 10-20,10,above 4,Everyone,successful
LIFESTYLE,353439,4.8,3 months,between 10-20,100,above 5,Everyone,successful
SHOPPING,7333,3.7,6 months,less than 10,10,above 4,Everyone,Not Successful
SHOPPING,7333,3.7,6 months,less than 10,10,above 4,Everyone,Not Successful
SHOPPING,6074,4.4,1 month,less than 10,10,above 5,Everyone,successful
SHOPPING,2076,3.1,1 month,less than 10,5,above 4,Everyone,Not Successful
SHOPPING,22553,3.4,3 months,less than 10,50,above 4,Everyone,Not Successful
SHOPPING,392,4,1 month,between 20-30,0.5,above 5,Everyone,Not Successful
SHOPPING,4064,4.6,1 month,less than 10,5,above 4,Everyone,successful
SHOPPING,24485,4.8,6 months,between 10-20,5,above 4,Everyone,successful
SHOPPING,101911,4.3,3 months,between 10-20,100,above 5,Everyone,successful
SHOPPING,18030,3.9,3 months,between 10-20,10,above 4,Everyone,Not Successful
SHOPPING,5174,3.7,1 month,less than 10,10,above 4,Everyone,Not Successful
SHOPPING,0,3.9,6 months,less than 10,0.01,above 4,Everyone,Not Successful
SHOPPING,78,3.4,1 month,less than 10,0.1,above 4,Everyone,Not Successful
TOOLS,36725,4.4,more than 6 months,less than 10,50,above 4,Everyone,successful
TOOLS,44,4.2,6 months,less than 10,0.1,above 4,Teen,Not Successful
SHOPPING,361,4.3,3 months,between 10-20,1,above 4,Everyone,successful
SHOPPING,3795,4.3,1 month,between 10-20,10,above 5,Everyone,successful
SHOPPING,3795,4.3,1 month,between 10-20,10,above 5,Everyone,successful
SHOPPING,25877,4.3,3 months,less than 10,10,above 4,Everyone,successful
SHOPPING,1234,3.9,3 months,between 10-20,0.5,above 4,Everyone,Not Successful
SHOPPING,6711,2.8,1 month,less than 10,5,above 4,Everyone,Not Successful
SHOPPING,10794,4.4,3 months,between 10-20,500,above 4,Everyone,successful
ART_AND_DESIGN,12739,3.9,1 month,above 50,10,above 6,Everyone,Not Successful
ENTERTAINMENT,556818,4.6,1 month,less than 10,100,above 4,Everyone,successful
PHOTOGRAPHY,50053,4.3,6 months,less than 10,10,above 4,Everyone,successful
EDUCATION,3874,3.9,3 months,above 50,10,above 4,Everyone,Not Successful
ART_AND_DESIGN,1707,4.4,1 month,between 30-40,1,above 4,Everyone,successful
BUSINESS,3760,3.9,3 months,between 20-30,5,above 5,Everyone,Not Successful
BUSINESS,19122,4.2,1 month,less than 10,10,above 5,Everyone,Not Successful
BUSINESS,179371,4.6,3 months,between 40-50,100,above 5,Everyone,successful
